       x      y[0]       y[1]
-------------- rkf ----------------
  0.080000  -1.740085   0.497596
  0.160000  -1.602897   0.424849
  0.240000  -1.389920   0.369927
  0.320000  -1.235086   0.331158
  0.400000  -1.128464   0.304604
  0.480000  -1.058152   0.287235
  0.560000  -1.015235   0.276781
  0.640000  -0.992878   0.271522
  0.720000  -0.985912   0.270142
  0.800000  -0.990328   0.271624
  0.880000  -1.003014   0.275174
  0.960000  -1.021537   0.280174
  1.040000  -1.043995   0.286141
  1.120000  -1.068906   0.292698
  1.200000  -1.095130   0.299560
  1.280000  -1.121801   0.306509
  1.360000  -1.148274   0.313387
  1.440000  -1.174083   0.320081
  1.520000  -1.198904   0.326512
  1.600000  -1.222523   0.332633
       x      y[0]       y[1]
------------- adams, h=0.008 ---------------
  0.000000   2.000000   0.500000
  0.008000   0.859893   0.517471
  0.016000   0.043843   0.527187
  0.024000  -0.537266   0.531365
  0.032000  -0.945424   0.531547
  0.040000  -1.233065   0.529032
  0.048000  -1.429927   0.524556
  0.056000  -1.565295   0.518840
  0.064000  -1.651928   0.512195
  0.072000  -1.707877   0.505063
  0.080000  -1.737102   0.497536
  0.088000  -1.752070   0.489916
  0.096000  -1.751837   0.482173
  0.104000  -1.746159   0.474542
  0.112000  -1.731211   0.466921
  0.120000  -1.715601   0.459518
  0.128000  -1.693680   0.452184
  0.136000  -1.673761   0.445121
  0.144000  -1.648906   0.438149
  0.152000  -1.627613   0.431474
  0.160000  -1.601903   0.424890
  0.168000  -1.580749   0.418616
  0.176000  -1.555232   0.412424
  0.184000  -1.534983   0.406547
  0.192000  -1.510162   0.400736
  0.200000  -1.491190   0.395245
  0.208000  -1.467281   0.389800
  0.216000  -1.449756   0.384678
  0.224000  -1.426822   0.379581
  0.232000  -1.410809   0.374811
  0.240000  -1.388838   0.370043
  0.248000  -1.374348   0.365608
  0.256000  -1.353287   0.361151
  0.264000  -1.340307   0.357033
  0.272000  -1.320082   0.352868
  0.280000  -1.308590   0.349052
  0.288000  -1.289117   0.345162
  0.296000  -1.279088   0.341631
  0.304000  -1.260278   0.338000
  0.312000  -1.251691   0.334740
  0.320000  -1.233451   0.331352
  0.328000  -1.226286   0.328350
  0.336000  -1.208524   0.325189
  0.344000  -1.202770   0.322432
  0.352000  -1.185390   0.319484
  0.360000  -1.181041   0.316960
  0.368000  -1.163947   0.314212
  0.376000  -1.161003   0.311909
  0.384000  -1.144098   0.309348
  0.392000  -1.142566   0.307257
  0.400000  -1.125751   0.304869
  0.408000  -1.125645   0.302981
  0.416000  -1.108818   0.300755
  0.424000  -1.110161   0.299060
  0.432000  -1.093216   0.296984
  0.440000  -1.096039   0.295476
  0.448000  -1.078868   0.293539
  0.456000  -1.083208   0.292209
  0.464000  -1.065697   0.290400
  0.472000  -1.071602   0.289242
  0.480000  -1.053633   0.287550
  0.488000  -1.061160   0.286558
  0.496000  -1.042609   0.284974
  0.504000  -1.051824   0.284143
  0.512000  -1.032559   0.282656
  0.520000  -1.043539   0.281980
  0.528000  -1.023422   0.280581
  0.536000  -1.036255   0.280058
  0.544000  -1.015139   0.278736
  0.552000  -1.029925   0.278361
  0.560000  -1.007653   0.277107
  0.568000  -1.024505   0.276878
  0.576000  -1.000910   0.275683
  0.584000  -1.019954   0.275598
  0.592000  -0.994858   0.274451
  0.600000  -1.016235   0.274508
  0.608000  -0.989445   0.273400
  0.616000  -1.013312   0.273598
  0.624000  -0.984623   0.272520
  0.632000  -1.011155   0.272859
  0.640000  -0.980344   0.271800
  0.648000  -1.009734   0.272281
  0.656000  -0.976561   0.271232
  0.664000  -1.009021   0.271855
  0.672000  -0.973229   0.270804
  0.680000  -1.008995   0.271573
  0.688000  -0.970303   0.270509
  0.696000  -1.009634   0.271426
  0.704000  -0.967740   0.270339
  0.712000  -1.010920   0.271407
  0.720000  -0.965496   0.270285
  0.728000  -1.012836   0.271509
  0.736000  -0.963528   0.270340
  0.744000  -1.015371   0.271724
  0.752000  -0.961792   0.270496
  0.760000  -1.018513   0.272048
  0.768000  -0.960245   0.270747
  0.776000  -1.022257   0.272473
  0.784000  -0.958845   0.271085
  0.792000  -1.026596   0.272995
  0.800000  -0.957546   0.271504
  0.808000  -1.031530   0.273607
  0.816000  -0.956305   0.271998
  0.824000  -1.037060   0.274305
  0.832000  -0.955074   0.272560
  0.840000  -1.043191   0.275084
  0.848000  -0.953809   0.273186
  0.856000  -1.049930   0.275940
  0.864000  -0.952460   0.273869
  0.872000  -1.057290   0.276869
  0.880000  -0.950977   0.274603
  0.888000  -1.065285   0.277866
  0.896000  -0.949309   0.275384
  0.904000  -1.073934   0.278929
  0.912000  -0.947400   0.276207
  0.920000  -1.083260   0.280055
  0.928000  -0.945195   0.277066
  0.936000  -1.093290   0.281240
  0.944000  -0.942634   0.277956
  0.952000  -1.104057   0.282482
  0.960000  -0.939653   0.278872
  0.968000  -1.115598   0.283779
  0.976000  -0.936185   0.279811
  0.984000  -1.127954   0.285129
  0.992000  -0.932160   0.280766
  1.000000  -1.141173   0.286530
  1.008000  -0.927502   0.281733
  1.016000  -1.155311   0.287980
  1.024000  -0.922131   0.282708
  1.032000  -1.170426   0.289479
  1.040000  -0.915960   0.283686
  1.048000  -1.186588   0.291026
  1.056000  -0.908896   0.284663
  1.064000  -1.203871   0.292620
  1.072000  -0.900840   0.285632
  1.080000  -1.222359   0.294262
  1.088000  -0.891684   0.286590
  1.096000  -1.242146   0.295951
  1.104000  -0.881314   0.287532
  1.112000  -1.263332   0.297688
  1.120000  -0.869605   0.288453
  1.128000  -1.286032   0.299474
  1.136000  -0.856422   0.289346
  1.144000  -1.310369   0.301310
  1.152000  -0.841620   0.290208
  1.160000  -1.336481   0.303199
  1.168000  -0.825040   0.291033
  1.176000  -1.364517   0.305141
  1.184000  -0.806512   0.291814
  1.192000  -1.394642   0.307141
  1.200000  -0.785849   0.292546
  1.208000  -1.427038   0.309201
  1.216000  -0.762851   0.293222
  1.224000  -1.461903   0.311324
  1.232000  -0.737300   0.293836
  1.240000  -1.499453   0.313516
  1.248000  -0.708956   0.294379
  1.256000  -1.539925   0.315780
  1.264000  -0.677562   0.294846
  1.272000  -1.583580   0.318122
  1.280000  -0.642837   0.295228
  1.288000  -1.630702   0.320548
  1.296000  -0.604474   0.295515
  1.304000  -1.681601   0.323065
  1.312000  -0.562142   0.295699
  1.320000  -1.736616   0.325681
  1.328000  -0.515477   0.295771
  1.336000  -1.796118   0.328404
  1.344000  -0.464085   0.295718
  1.352000  -1.860511   0.331243
  1.360000  -0.407536   0.295531
  1.368000  -1.930239   0.334209
  1.376000  -0.345362   0.295195
  1.384000  -2.005782   0.337313
  1.392000  -0.277053   0.294699
  1.400000  -2.087668   0.340567
  1.408000  -0.202053   0.294027
  1.416000  -2.176473   0.343986
  1.424000  -0.119757   0.293165
  1.432000  -2.272823   0.347585
  1.440000  -0.029503   0.292094
  1.448000  -2.377404   0.351381
  1.456000   0.069427   0.290796
  1.464000  -2.490962   0.355390
  1.472000   0.177817   0.289252
  1.480000  -2.614314   0.359635
  1.488000   0.296525   0.287440
  1.496000  -2.748348   0.364136
  1.504000   0.426480   0.285336
  1.512000  -2.894035   0.368917
  1.520000   0.568701   0.282914
  1.528000  -3.052433   0.374005
  1.536000   0.724295   0.280146
  1.544000  -3.224698   0.379428
  1.552000   0.894472   0.277002
  1.560000  -3.412089   0.385217
  1.568000   1.080548   0.273449
  1.576000  -3.615980   0.391408
  1.584000   1.283961   0.269451
  1.592000  -3.837870   0.398036
  1.600000   1.506278   0.264968
       x      y[0]       y[1]
------------- adams, h=0.001 ---------------
  0.000000   2.000000   0.500000
  0.001000   1.835955   0.502703
  0.002000   1.678561   0.505245
  0.003000   1.527555   0.507633
  0.004000   1.382686   0.509873
  0.005000   1.243713   0.511971
  0.006000   1.110404   0.513933
  0.007000   0.982535   0.515764
  0.008000   0.859893   0.517471
  0.009000   0.742272   0.519057
  0.010000   0.629475   0.520528
  0.011000   0.521310   0.521888
  0.012000   0.417596   0.523143
  0.013000   0.318157   0.524296
  0.014000   0.222826   0.525351
  0.015000   0.131439   0.526314
  0.016000   0.043842   0.527187
  0.017000  -0.040116   0.527974
  0.018000  -0.120576   0.528679
  0.019000  -0.197679   0.529305
  0.020000  -0.271555   0.529856
  0.021000  -0.342332   0.530334
  0.022000  -0.410133   0.530743
  0.023000  -0.475075   0.531086
  0.024000  -0.537271   0.531365
  0.025000  -0.596829   0.531584
  0.026000  -0.653854   0.531744
  0.027000  -0.708446   0.531848
  0.028000  -0.760700   0.531899
  0.029000  -0.810711   0.531899
  0.030000  -0.858565   0.531850
  0.031000  -0.904349   0.531755
  0.032000  -0.948144   0.531614
  0.033000  -0.990030   0.531431
  0.034000  -1.030081   0.531207
  0.035000  -1.068372   0.530943
  0.036000  -1.104970   0.530643
  0.037000  -1.139944   0.530306
  0.038000  -1.173358   0.529936
  0.039000  -1.205274   0.529532
  0.040000  -1.235751   0.529098
  0.041000  -1.264847   0.528634
  0.042000  -1.292616   0.528141
  0.043000  -1.319112   0.527622
  0.044000  -1.344384   0.527076
  0.045000  -1.368482   0.526506
  0.046000  -1.391453   0.525912
  0.047000  -1.413341   0.525296
  0.048000  -1.434189   0.524659
  0.049000  -1.454040   0.524002
  0.050000  -1.472932   0.523325
  0.051000  -1.490905   0.522629
  0.052000  -1.507994   0.521917
  0.053000  -1.524236   0.521187
  0.054000  -1.539664   0.520442
  0.055000  -1.554311   0.519682
  0.056000  -1.568209   0.518908
  0.057000  -1.581386   0.518120
  0.058000  -1.593873   0.517319
  0.059000  -1.605697   0.516507
  0.060000  -1.616885   0.515683
  0.061000  -1.627462   0.514848
  0.062000  -1.637453   0.514002
  0.063000  -1.646882   0.513148
  0.064000  -1.655771   0.512284
  0.065000  -1.664143   0.511411
  0.066000  -1.672018   0.510531
  0.067000  -1.679416   0.509643
  0.068000  -1.686358   0.508747
  0.069000  -1.692860   0.507846
  0.070000  -1.698942   0.506938
  0.071000  -1.704620   0.506024
  0.072000  -1.709912   0.505104
  0.073000  -1.714832   0.504180
  0.074000  -1.719396   0.503251
  0.075000  -1.723619   0.502318
  0.076000  -1.727514   0.501381
  0.077000  -1.731096   0.500440
  0.078000  -1.734376   0.499495
  0.079000  -1.737369   0.498548
  0.080000  -1.740084   0.497598
  0.081000  -1.742535   0.496645
  0.082000  -1.744732   0.495690
  0.083000  -1.746686   0.494734
  0.084000  -1.748406   0.493775
  0.085000  -1.749904   0.492815
  0.086000  -1.751187   0.491853
  0.087000  -1.752265   0.490891
  0.088000  -1.753147   0.489927
  0.089000  -1.753841   0.488963
  0.090000  -1.754355   0.487999
  0.091000  -1.754696   0.487034
  0.092000  -1.754873   0.486069
  0.093000  -1.754892   0.485103
  0.094000  -1.754760   0.484138
  0.095000  -1.754484   0.483174
  0.096000  -1.754069   0.482209
  0.097000  -1.753522   0.481246
  0.098000  -1.752849   0.480283
  0.099000  -1.752055   0.479321
  0.100000  -1.751145   0.478359
  0.101000  -1.750125   0.477399
  0.102000  -1.749000   0.476440
  0.103000  -1.747774   0.475483
  0.104000  -1.746452   0.474526
  0.105000  -1.745038   0.473572
  0.106000  -1.743536   0.472618
  0.107000  -1.741951   0.471667
  0.108000  -1.740286   0.470717
  0.109000  -1.738545   0.469769
  0.110000  -1.736732   0.468823
  0.111000  -1.734850   0.467878
  0.112000  -1.732902   0.466936
  0.113000  -1.730891   0.465996
  0.114000  -1.728821   0.465058
  0.115000  -1.726694   0.464122
  0.116000  -1.724513   0.463189
  0.117000  -1.722281   0.462258
  0.118000  -1.720001   0.461329
  0.119000  -1.717674   0.460403
  0.120000  -1.715304   0.459479
  0.121000  -1.712892   0.458557
  0.122000  -1.710441   0.457639
  0.123000  -1.707952   0.456722
  0.124000  -1.705429   0.455809
  0.125000  -1.702872   0.454898
  0.126000  -1.700283   0.453990
  0.127000  -1.697665   0.453084
  0.128000  -1.695019   0.452181
  0.129000  -1.692347   0.451281
  0.130000  -1.689650   0.450384
  0.131000  -1.686930   0.449490
  0.132000  -1.684188   0.448598
  0.133000  -1.681425   0.447710
  0.134000  -1.678644   0.446824
  0.135000  -1.675844   0.445941
  0.136000  -1.673029   0.445062
  0.137000  -1.670197   0.444185
  0.138000  -1.667352   0.443311
  0.139000  -1.664493   0.442440
  0.140000  -1.661622   0.441572
  0.141000  -1.658740   0.440707
  0.142000  -1.655848   0.439845
  0.143000  -1.652947   0.438987
  0.144000  -1.650037   0.438131
  0.145000  -1.647120   0.437278
  0.146000  -1.644195   0.436428
  0.147000  -1.641265   0.435582
  0.148000  -1.638330   0.434738
  0.149000  -1.635390   0.433898
  0.150000  -1.632446   0.433061
  0.151000  -1.629499   0.432226
  0.152000  -1.626550   0.431395
  0.153000  -1.623598   0.430567
  0.154000  -1.620645   0.429742
  0.155000  -1.617691   0.428920
  0.156000  -1.614737   0.428102
  0.157000  -1.611783   0.427286
  0.158000  -1.608829   0.426474
  0.159000  -1.605877   0.425664
  0.160000  -1.602926   0.424858
  0.161000  -1.599977   0.424055
  0.162000  -1.597031   0.423255
  0.163000  -1.594087   0.422458
  0.164000  -1.591146   0.421664
  0.165000  -1.588209   0.420873
  0.166000  -1.585276   0.420085
  0.167000  -1.582347   0.419301
  0.168000  -1.579422   0.418519
  0.169000  -1.576502   0.417741
  0.170000  -1.573587   0.416966
  0.171000  -1.570677   0.416193
  0.172000  -1.567772   0.415424
  0.173000  -1.564874   0.414658
  0.174000  -1.561981   0.413895
  0.175000  -1.559095   0.413135
  0.176000  -1.556215   0.412378
  0.177000  -1.553342   0.411624
  0.178000  -1.550475   0.410874
  0.179000  -1.547616   0.410126
  0.180000  -1.544763   0.409381
  0.181000  -1.541918   0.408639
  0.182000  -1.539081   0.407900
  0.183000  -1.536251   0.407165
  0.184000  -1.533429   0.406432
  0.185000  -1.530615   0.405702
  0.186000  -1.527809   0.404976
  0.187000  -1.525011   0.404252
  0.188000  -1.522222   0.403531
  0.189000  -1.519441   0.402813
  0.190000  -1.516668   0.402099
  0.191000  -1.513904   0.401387
  0.192000  -1.511149   0.400678
  0.193000  -1.508402   0.399972
  0.194000  -1.505664   0.399269
  0.195000  -1.502936   0.398568
  0.196000  -1.500216   0.397871
  0.197000  -1.497505   0.397177
  0.198000  -1.494803   0.396485
  0.199000  -1.492111   0.395797
  0.200000  -1.489428   0.395111
  0.201000  -1.486754   0.394428
  0.202000  -1.484090   0.393748
  0.203000  -1.481435   0.393071
  0.204000  -1.478789   0.392397
  0.205000  -1.476153   0.391726
  0.206000  -1.473526   0.391057
  0.207000  -1.470909   0.390391
  0.208000  -1.468302   0.389729
  0.209000  -1.465704   0.389068
  0.210000  -1.463116   0.388411
  0.211000  -1.460537   0.387757
  0.212000  -1.457968   0.387105
  0.213000  -1.455409   0.386456
  0.214000  -1.452860   0.385809
  0.215000  -1.450320   0.385166
  0.216000  -1.447790   0.384525
  0.217000  -1.445269   0.383887
  0.218000  -1.442759   0.383252
  0.219000  -1.440258   0.382619
  0.220000  -1.437767   0.381989
  0.221000  -1.435286   0.381362
  0.222000  -1.432814   0.380738
  0.223000  -1.430353   0.380116
  0.224000  -1.427901   0.379497
  0.225000  -1.425458   0.378880
  0.226000  -1.423026   0.378266
  0.227000  -1.420603   0.377655
  0.228000  -1.418190   0.377047
  0.229000  -1.415787   0.376441
  0.230000  -1.413394   0.375837
  0.231000  -1.411010   0.375237
  0.232000  -1.408636   0.374639
  0.233000  -1.406271   0.374043
  0.234000  -1.403917   0.373450
  0.235000  -1.401572   0.372860
  0.236000  -1.399236   0.372272
  0.237000  -1.396911   0.371687
  0.238000  -1.394595   0.371104
  0.239000  -1.392288   0.370524
  0.240000  -1.389991   0.369946
  0.241000  -1.387704   0.369371
  0.242000  -1.385426   0.368798
  0.243000  -1.383158   0.368228
  0.244000  -1.380899   0.367661
  0.245000  -1.378650   0.367096
  0.246000  -1.376410   0.366533
  0.247000  -1.374180   0.365973
  0.248000  -1.371959   0.365415
  0.249000  -1.369748   0.364860
  0.250000  -1.367546   0.364307
  0.251000  -1.365353   0.363756
  0.252000  -1.363170   0.363209
  0.253000  -1.360996   0.362663
  0.254000  -1.358832   0.362120
  0.255000  -1.356676   0.361579
  0.256000  -1.354530   0.361041
  0.257000  -1.352393   0.360505
  0.258000  -1.350266   0.359971
  0.259000  -1.348147   0.359440
  0.260000  -1.346038   0.358911
  0.261000  -1.343938   0.358384
  0.262000  -1.341846   0.357860
  0.263000  -1.339764   0.357338
  0.264000  -1.337691   0.356819
  0.265000  -1.335627   0.356302
  0.266000  -1.333572   0.355787
  0.267000  -1.331526   0.355274
  0.268000  -1.329489   0.354764
  0.269000  -1.327461   0.354256
  0.270000  -1.325442   0.353750
  0.271000  -1.323432   0.353246
  0.272000  -1.321430   0.352745
  0.273000  -1.319437   0.352246
  0.274000  -1.317453   0.351749
  0.275000  -1.315478   0.351255
  0.276000  -1.313512   0.350763
  0.277000  -1.311554   0.350272
  0.278000  -1.309605   0.349785
  0.279000  -1.307665   0.349299
  0.280000  -1.305733   0.348815
  0.281000  -1.303810   0.348334
  0.282000  -1.301895   0.347855
  0.283000  -1.299989   0.347378
  0.284000  -1.298091   0.346903
  0.285000  -1.296202   0.346431
  0.286000  -1.294321   0.345960
  0.287000  -1.292449   0.345492
  0.288000  -1.290585   0.345026
  0.289000  -1.288730   0.344562
  0.290000  -1.286882   0.344100
  0.291000  -1.285044   0.343640
  0.292000  -1.283213   0.343182
  0.293000  -1.281391   0.342727
  0.294000  -1.279577   0.342273
  0.295000  -1.277771   0.341822
  0.296000  -1.275973   0.341372
  0.297000  -1.274183   0.340925
  0.298000  -1.272402   0.340480
  0.299000  -1.270629   0.340036
  0.300000  -1.268863   0.339595
  0.301000  -1.267106   0.339156
  0.302000  -1.265357   0.338719
  0.303000  -1.263615   0.338284
  0.304000  -1.261882   0.337851
  0.305000  -1.260157   0.337420
  0.306000  -1.258439   0.336991
  0.307000  -1.256730   0.336564
  0.308000  -1.255028   0.336139
  0.309000  -1.253334   0.335715
  0.310000  -1.251648   0.335294
  0.311000  -1.249969   0.334875
  0.312000  -1.248299   0.334458
  0.313000  -1.246636   0.334043
  0.314000  -1.244980   0.333629
  0.315000  -1.243333   0.333218
  0.316000  -1.241693   0.332808
  0.317000  -1.240060   0.332401
  0.318000  -1.238435   0.331995
  0.319000  -1.236818   0.331592
  0.320000  -1.235208   0.331190
  0.321000  -1.233606   0.330790
  0.322000  -1.232011   0.330392
  0.323000  -1.230424   0.329996
  0.324000  -1.228844   0.329602
  0.325000  -1.227272   0.329209
  0.326000  -1.225706   0.328819
  0.327000  -1.224149   0.328430
  0.328000  -1.222598   0.328043
  0.329000  -1.221055   0.327658
  0.330000  -1.219519   0.327275
  0.331000  -1.217990   0.326894
  0.332000  -1.216469   0.326514
  0.333000  -1.214954   0.326136
  0.334000  -1.213447   0.325761
  0.335000  -1.211947   0.325387
  0.336000  -1.210454   0.325014
  0.337000  -1.208968   0.324644
  0.338000  -1.207490   0.324275
  0.339000  -1.206018   0.323908
  0.340000  -1.204553   0.323543
  0.341000  -1.203095   0.323180
  0.342000  -1.201645   0.322818
  0.343000  -1.200201   0.322458
  0.344000  -1.198764   0.322100
  0.345000  -1.197334   0.321744
  0.346000  -1.195911   0.321389
  0.347000  -1.194494   0.321036
  0.348000  -1.193085   0.320685
  0.349000  -1.191682   0.320335
  0.350000  -1.190286   0.319988
  0.351000  -1.188897   0.319642
  0.352000  -1.187514   0.319297
  0.353000  -1.186138   0.318954
  0.354000  -1.184769   0.318613
  0.355000  -1.183407   0.318274
  0.356000  -1.182051   0.317936
  0.357000  -1.180702   0.317600
  0.358000  -1.179359   0.317266
  0.359000  -1.178023   0.316933
  0.360000  -1.176693   0.316602
  0.361000  -1.175370   0.316273
  0.362000  -1.174053   0.315945
  0.363000  -1.172743   0.315619
  0.364000  -1.171439   0.315295
  0.365000  -1.170142   0.314972
  0.366000  -1.168851   0.314651
  0.367000  -1.167567   0.314331
  0.368000  -1.166288   0.314013
  0.369000  -1.165017   0.313697
  0.370000  -1.163751   0.313382
  0.371000  -1.162492   0.313068
  0.372000  -1.161239   0.312757
  0.373000  -1.159992   0.312447
  0.374000  -1.158751   0.312138
  0.375000  -1.157517   0.311831
  0.376000  -1.156289   0.311526
  0.377000  -1.155066   0.311222
  0.378000  -1.153850   0.310920
  0.379000  -1.152641   0.310619
  0.380000  -1.151437   0.310320
  0.381000  -1.150239   0.310022
  0.382000  -1.149047   0.309726
  0.383000  -1.147862   0.309431
  0.384000  -1.146682   0.309138
  0.385000  -1.145508   0.308846
  0.386000  -1.144341   0.308556
  0.387000  -1.143179   0.308267
  0.388000  -1.142023   0.307980
  0.389000  -1.140873   0.307695
  0.390000  -1.139729   0.307410
  0.391000  -1.138590   0.307128
  0.392000  -1.137458   0.306847
  0.393000  -1.136331   0.306567
  0.394000  -1.135210   0.306288
  0.395000  -1.134095   0.306012
  0.396000  -1.132986   0.305736
  0.397000  -1.131882   0.305462
  0.398000  -1.130784   0.305190
  0.399000  -1.129692   0.304919
  0.400000  -1.128605   0.304649
  0.401000  -1.127524   0.304381
  0.402000  -1.126449   0.304114
  0.403000  -1.125379   0.303849
  0.404000  -1.124315   0.303585
  0.405000  -1.123257   0.303322
  0.406000  -1.122204   0.303061
  0.407000  -1.121156   0.302801
  0.408000  -1.120114   0.302543
  0.409000  -1.119078   0.302286
  0.410000  -1.118047   0.302030
  0.411000  -1.117021   0.301776
  0.412000  -1.116001   0.301523
  0.413000  -1.114986   0.301272
  0.414000  -1.113977   0.301021
  0.415000  -1.112973   0.300773
  0.416000  -1.111974   0.300525
